Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/tw/product/3-in-1-universal-charging-cable/metro-black/,757,613,0:00:56,506,30.77%,30.91%,$0.38 
/tw/product/verana-tote-work-bag/slate-black/,757,672,0:00:33,43,47.73%,13.61%,$0.00 
/tw/product/versacover-case-with-folding-cover/savanna-beige-for-ipad-air-10-9-inch-4th-gen?model=180,757,513,0:00:43,8,11.11%,21.53%,$0.13 
/en/product/overture-case-with-detachable-magnetic-wallet/jet-black-for-iphone-13-pro/?ref=device:618:iphone 13 pro,751,622,0:00:58,85,58.14%,39.15%,$1.44 
/tw/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,750,596,0:00:54,131,56.82%,26.93%,$0.17 
/tw/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,742,421,0:00:25,3,33.33%,7.14%,$0.57 
/tw/product/versacover-case-with-folding-cover/metro-black-for-ipad-5th-6th-gen/,741,619,0:00:50,553,32.68%,35.36%,$0.00 
/tw/product/iglaze-xt-clear-case/clear-for-iphone-13-mini/?ref=device:620:iphone 13 mini,735,601,0:01:57,103,66.99%,42.86%,$0.21 
/tw/product/overture-case-with-detachable-magnetic-wallet/luna-pink-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,722,548,0:01:20,75,65.38%,24.52%,$1.40 
/en/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro-max/,720,663,0:00:42,647,78.52%,77.92%,$0.00 
/en/product/iglaze-xt-clear-case/clear-for-iphone-13-pro/?ref=device:618:iphone 13 pro,697,596,0:01:20,114,84.07%,45.34%,$0.89 
/en/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro/?ref=device:618:iphone 13 pro,695,557,0:01:22,91,60.87%,29.64%,$1.62 
/tw/product/arx-slim-hardshell-case/mirage-black-for-iphone-13/?ref=device:617:iphone 13,694,574,0:02:12,102,69.61%,35.73%,$0.00 
/tw/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro?ref=device:618:iphone 13 pro,693,431,0:00:22,6,16.67%,8.37%,$0.36 
/tw/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13?ref=device:617:iphone 13,693,389,0:00:16,3,0.00%,8.37%,$0.00 
/tw/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,689,397,0:00:16,5,20.00%,6.24%,$0.61 
/tw/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13/?ref=device:617:iphone 13,682,541,0:00:52,103,53.85%,25.22%,$0.33 
/tw/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13?ref=device:617:iphone 13,681,412,0:00:14,7,42.86%,8.08%,$0.33 
/tw/product/iongo-5k-duo-portable-battery-with-built-in-lightning-and-usb-c-cables/fossil-gray?ref=category:33,681,525,0:00:55,5,166.67%,19.38%,$2.81 
/en/product/overture-case-with-detachable-magnetic-wallet/jet-black-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,680,536,0:01:42,101,59.41%,40.15%,$2.29 
/en/product/omniguard-mask-with-3-replaceable-nanohedron-filters/ocean-black-l/,679,542,0:02:02,518,60.50%,57.73%,$4.54 
/tw/product/muto-three-way-convertible-backpack/coastal-beige/?ref=category:10,679,560,0:00:33,43,58.14%,13.99%,$0.00 
/tw/product/arx-clear-slim-hardshell-case/clear-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,675,572,0:01:27,60,68.33%,33.33%,$0.24 
/en/product/snapto-magnetic-wireless-charger-with-built-in-wall-mount-kit/gray/,667,585,0:02:03,515,76.55%,69.87%,$0.09 
/tw/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13/?ref=device:617:iphone 13,662,534,0:00:49,76,59.21%,24.17%,$0.17 
/tw/product/overture-case-with-detachable-magnetic-wallet/luna-pink-for-iphone-13/?ref=device:617:iphone 13,660,513,0:01:12,92,57.45%,30.91%,$0.62 
/tw/product/sette-q-dual-wireless-charging-pad-with-adapter/nordic-gray?ref=category:46,658,578,0:01:55,4,0.00%,25.38%,$1.10 
/tw/product/hexa-backpack/midnight-black/,649,577,0:00:46,50,63.27%,22.34%,$0.06 
/tw/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro?ref=device:618:iphone 13 pro,642,416,0:00:21,3,33.33%,11.06%,$0.27 
/en/product/overture-case-with-detachable-magnetic-wallet/luna-pink-for-iphone-13-pro/?ref=device:618:iphone 13 pro,614,469,0:01:32,71,53.52%,27.04%,$1.19 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,613,340,0:00:15,4,25.00%,5.38%,$0.71 
/tw/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,602,495,0:01:06,84,66.67%,29.90%,$0.65 
/tw/product/integra-usb-a-to-lightning-charge-sync-cable-4-ft-1-2-m/titanium-gray?ref=category:22,600,422,0:00:54,3,0.00%,14.00%,$1.75 
/en/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-11-inch-3rd-1st-gen/?model=189,594,469,0:01:01,69,75.36%,26.77%,$1.01 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13?ref=device:617:iphone 13,590,339,0:00:14,2,0.00%,7.12%,$0.28 
/en/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13-pro/?ref=device:618:iphone 13 pro,586,462,0:01:23,91,61.54%,33.11%,$0.84 
/tw/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,575,426,0:01:12,67,41.79%,23.65%,$0.51 
/tw/product/lounge-q-wireless-charging-stand/nordic-gray?ref=category:46,575,516,0:01:31,2,0.00%,27.48%,$1.60 
/en/product/overture-case-with-detachable-magnetic-wallet/jet-black-for-iphone-12-pro-max-snapto/,571,448,0:01:02,360,46.54%,46.41%,$1.29 
/tw/product/iglaze-slim-hardshell-case/dahlia-pink-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,566,341,0:00:04,2,0.00%,3.18%,$0.41 
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13/?ref=device:617:iphone 13,562,455,0:01:08,65,72.31%,27.58%,$0.31 
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro?ref=device:618:iphone 13 pro,561,377,0:00:38,4,0.00%,10.52%,$0.56 
/tw/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,560,322,0:00:25,2,0.00%,6.96%,$0.87 
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-mini/?ref=device:620:iphone 13 mini,558,458,0:01:16,50,49.02%,25.09%,$0.25 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-mini/?ref=device:620:iphone 13 mini,557,467,0:01:12,29,63.33%,26.21%,$0.00 
/en/product/otto-q-wireless-charging-pad/nordic-gray/,556,479,0:01:50,454,51.75%,50.36%,$0.53 
/en/product/muse-13-slim-fit-sleeve/jet-black,548,414,0:00:45,8,20.00%,23.18%,$1.77 
/tw/product/iglaze-slim-hardshell-case/dahlia-pink-for-iphone-13?ref=device:617:iphone 13,546,365,0:00:22,2,0.00%,5.86%,$0.14 
/tw/product/usb-c-multiport-adapter/silver/,540,428,0:01:30,344,33.53%,38.70%,$0.00 
/en/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,539,434,0:01:10,280,31.90%,34.69%,$0.58 
/tw/product/iongo-5k-duo-portable-battery-with-built-in-lightning-and-usb-c-cables/fossil-gray/,539,450,0:01:36,348,64.66%,54.17%,$0.00 
/tw/product/versacover-case-with-folding-cover/metro-black-for-ipad-pro-11-inch/,538,405,0:01:00,307,30.10%,32.71%,$0.25 
/tw/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13?ref=device:617:iphone 13,536,324,0:00:18,2,0.00%,3.92%,$0.29 
/tw/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,526,421,0:00:54,46,60.87%,20.34%,$0.36 
/tw/product/ionglass-screen-protector/black-clear-glossy-for-iphone-8-plus-7-plus/,523,421,0:00:46,348,26.86%,30.59%,$0.08 
/tw/product/iongo-5k-portable-battery-with-built-in-lightning-and-usb-a-cables/azure-blue?ref=category:33,522,371,0:00:39,4,0.00%,15.33%,$3.61 
/tw/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,521,412,0:00:55,72,52.78%,23.22%,$0.10 
/en/product/digits-touchscreen-gloves/light-gray-m,516,339,0:00:41,10,10.00%,18.99%,$6.87 
/en/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-12-mini-snapto/,514,413,0:01:12,402,46.90%,50.78%,$0.52 
/en/product/arx-slim-hardshell-case/mirage-black-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,510,453,0:01:15,38,76.32%,38.82%,$0.97 
/tw/product/versacover-case-with-folding-cover/savanna-beige-for-ipad-pro-11-inch-3rd-1st-gen?model=189,504,338,0:00:48,3,0.00%,19.05%,$0.20 
/tw/product/iongo-5k-portable-battery-with-built-in-lightning-and-usb-a-cables/ivory-white?ref=category:33,494,375,0:00:51,2,0.00%,17.61%,$1.85 
/tw/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13/?ref=device:617:iphone 13,492,391,0:01:32,57,48.28%,23.98%,$0.64 
/tw/product/porto-q-5k-portable-battery-with-built-in-wireless-charger/nordic-gray-epp?ref=category:46,492,439,0:01:20,3,200.00%,22.56%,$1.82 
/en/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13-pro?ref=device:618:iphone 13 pro,489,330,0:00:16,5,0.00%,13.09%,$0.42 
/tw/product/symbus-mini-7-in-1-portable-usb-c-hub/titanium-gray/,482,415,0:02:45,332,64.86%,58.92%,$0.00 
/en/product/muse-13-slim-fit-sleeve/jet-black?ref=category:36,481,374,0:00:55,8,33.33%,25.16%,$2.12 
/en/product/usb-c-to-displayport-cable-5-ft-1-5-m/white/,481,414,0:02:49,395,78.28%,74.01%,$0.00 
/tw/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro-max/?model=199,478,381,0:00:17,13,84.62%,11.09%,$0.14 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-12-12-pro-snapto/?ref=device:592:iphone 12 pro,476,396,0:00:42,21,76.19%,26.47%,$0.31 
/en/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13-pro?ref=device:618:iphone 13 pro,475,299,0:00:11,3,33.33%,5.68%,$0.62 
/tw/product/lounge-q-wireless-charging-stand/nordic-gray/?ref=category:46,469,417,0:02:24,319,83.07%,69.30%,$0.00 
/tw/product/iglaze-slim-hardshell-case/dahlia-pink-for-iphone-13-pro/?ref=device:618:iphone 13 pro,467,386,0:00:39,48,45.83%,22.70%,$0.00 
/tw/product/porto-q-5k-portable-battery-with-built-in-wireless-charger/nordic-gray-epp/,466,402,0:02:40,343,74.19%,68.88%,$0.25 
/en/product/arx-clear-slim-hardshell-case/clear-for-iphone-13-pro/?ref=device:618:iphone 13 pro,464,404,0:01:01,28,67.86%,37.07%,$0.15 
