category,productCategory,sku,model
Bags,Computer Bag,99MO034004,Muse 13 - Graphite Black
Bags,Laptops Bag,99MO010009,Codex 12 - Onyx Black
Bags,Laptops Bag,99MO010007,Codex 13 R - Black
Bags,Slingpacks,99MO110003,Tego Slingpack - Charcoal Black
Bags,Tablet Bag,99MO034012,Muse for iPad - Gray
Bags,Travels,99MO099741,Costa - Sandstone Beige
Bags,Travels,99MO099001,Costa - Slate Black
Bags,Tablet Bag,99MO073741,VersaPouch Mini - Gray
Bags,Totes,99MO109812,Verana - Amber Orange
Bags,Briefcases,99MO100301,Lula - Coral Pink
Bags,Accessory,99MO100003,Vegan Leather Chain Strap - Classic Black
Bags,Accessory,99MO100732,Vegan Leather Chain Strap - Walnut Brown
Bags,Smart Phone Bag,99MO001005,iPouch - Black
Bags,Smart Phone Bag,99MO001421,iPouch - Purple
Bags,Accessory,99MO118754,Treya Briefcase (Microsoft) - Caramel Brown
Bags,Accessory,99MO118005,Treya Briefcase (Microsoft) - Jet Black
Bags,Backpacks,99MO112712,Hexa (Microsoft) - Khaki Brown
Bags,Backpacks,99MO110005,Tego Backpack (Microsoft) - Charcoal Black
Bags,Backpacks,99MO110265,Tego Backpack (Microsoft) - Stone Gray
Bags,Travels,99MO099002,Costa(Microsoft) - Slate Black
Bags,Accessory,99MO104304,Pluma Pouch - Macaron Pink
Bags,Backpacks,99MO112002,Hexa (Microsoft) - Midnight Black
Bags,Totes,99MO108002,Aria (Microsoft) - Slate Black
Bags,Totes,99MO108013,Aria (Microsoft) - Ceramic Gray
Bags,Accessory,99MO100731,Vegan Leather Strap - Walnut Brown
Bags,Briefcases,99MO078532,Urbana Navi - Herringbone Blue
Bags,Briefcases,99MO078032,Urbana Navi - Herringbone Gray
Bags,Briefcases,99MO078533,Urbana Lite - Herringbone Blue
Bags,Briefcases,99MO078633,Urbana Lite - Herringbone Green
Bags,Accessory,99MO095004,ID/Badge Holder - Onyx Black
Bags,Briefcases,99MO078632,Urbana Navi - Herringbone Green
Bags,Briefcases,99MO078033,Urbana Lite - Herringbone Gray
Bags,Computer Bag,99MO034011,Muse 13 - Gray
Bags,Laptops Bag,99MO010241,Codex Air 13 - Titanium
Bags,Laptops Bag,99MO010004,Codex 13 - Black
Bags,Tablet Bag,99MO034714,Muse 12 - Beige
Bags,Backpacks,99MO112602,Hexa (Microsoft) - Forest Green
Bags,Backpacks,99MO087003,Helios Lite (Microsoft) - Slate Black
Bags,Totes,99MO108533,Aria (Microsoft ) - Bahama Blue
Bags,Laptops Bag,99MO010003,Codex Air 13 - Black
Bags,Laptops Bag,99MO010008,Codex 15 R - Black
Bags,Accessory,99MO095010,SnapTo? Slim Wallet - Jet Black
Bags,Accessory,99MO095302,SnapTo? Slim Wallet - Luna Pink
Bags,Accessory,99MO095752,SnapTo? Slim Wallet - Caramel Brown
Bags,Briefcases,99MO078301,Urbana Mini - Sakura Pink
Bags,Briefcases,99MO078303,Urbana Mini - Coral Pink
Bags,Tablet Bag,99MO034412,Muse for iPad - Purple
Bags,Accessory,99MO095013,Adjustable Body Strap - Camo Black
Bags,Accessory,99MO095601,Adjustable Body Strap - Camo Green
Bags,Accessory,99MO095712,Adjustable Body Strap - Camo Beige
Bags,Backpacks,99MO087051,Helios - Herringbone Gray
Bags,Briefcases,99MO078302,Urbana - Coral Pink
Bags,Briefcases,99MO078531,Urbana - Bahama Blue
Bags,Briefcases,99MO078722,Urbana Mini - Tuscan Yellow
Bags,Laptops Bag,99MO010242,Codex 13 R - Titanium
Bags,Slingpacks,99MO125602,Aro Mini - Forest Green
Bags,Slingpacks,99MO125601,Aro - Forest Green
Bags,Smart Phone Bag,99MO001405,iPouch SP - Pink
Bags,Accessory,99MO095012,Key Ring - Slate Black
Bags,Accessory,99MO095532,Key Ring - Bahama Blue
Bags,Accessory,99MO095711,Key Ring - Sandstone Beige
Bags,Computer Bag,99MO034008,Muse 13" - Jet Black
Bags,Computer Bag,99MO034751,Muse 13" - Caramel Brown
Bags,Computer Bag,99MO034101,Muse 13" - Seashell White
Bags,Laptops Bag,99MO010001,Codex Air 11 - Black
Bags,Accessory,99MO095014,Dual-sided ID Badge Holder - Jet Black
Bags,Accessory,99MO095753,Dual-sided ID Badge Holder - Caramel Brown
Bags,Accessory,99MO095015,AirTag Key Ring - Jet Black
Bags,Accessory,99MO095754,AirTag Key Ring - Caramel Brown
Bags,Totes,99MO108812,Aria (Microsoft) - Amber Orange
Bags,Accessory,99MO095943,Adjustable Body Strap - Rainbow
Bags,Accessory,99MO095941,Key Ring - Rainbow
Bags,Backpacks,99MO131001,Vespo - Eclipse Black
Bags,Backpacks,99MO131261,Vespo - Ash Gray
Bags,Accessory,99MO118756,Treya Clutch - Sandy Brown
Bags,Accessory,99MO118013,Treya Clutch - Mountain Grey
Bags,Accessory,99MO118102,Treya shoulder strap - Seashell White
Bags,Accessory,99MO118757,Treya shoulder strap - Sandy Brown
Bags,Accessory,99MO095101,SnapTo Crossbody Wallet - Seashell White
Bags,Accessory,99MO095755,SnapTo Crossbody Wallet - Caramel Brown
Bags,Accessory,99MO095016,Crossbody Phone Holster - Jet Black
Bags,Accessory,99MO095303,Altra Body Strap  - Rose Pink
Bags,Accessory,99MO095942,Adjustable Vegan Leather Body Strap - Rainbow
Batteries and Power,Chargers,99MO022006,Car Charger Duo with Lightning cable - Black
Batteries and Power,Chargers,99MO022007,Car Charger Duo - Black
Batteries and Power,Portable Batteries,99MO022015,IonGo 5K with USB-A to Lightning Cable - White
Batteries and Power,Portable Batteries,99MO022019,IonGo 5K with USB-A to Lightning Cable - Blue
Batteries and Power,Portable Batteries,99MO022024,IonGo 5K Duo with USB-C to Lightning Cable - Gray
